id,rollno,name,Class,subject1,subject2 ,subject3,subject4,total,semester
1,,,,,,,,,
2,1001,name1,Class-1,36,26,14,65,141,4
3,1002,name2,Class-1,4,17,57,64,142,4
4,1003,name3,Class-1,71,50,25,97,243,4
5,1004,name4,Class-1,88,21,42,35,186,4
6,1005,name5,Class-1,36,79,74,12,201,4
7,1006,name6,Class-1,55,56,25,100,236,4
8,1007,name7,Class-1,96,78,95,32,301,4
9,1008,name8,Class-1,93,44,28,85,250,4
10,1009,name9,Class-1,9,55,12,55,131,4
11,1010,name10,Class-1,17,44,45,17,123,4
12,1011,name11,Class-1,83,79,65,77,304,4
13,1012,name12,Class-1,98,11,50,58,217,4
14,1013,name13,Class-1,30,63,41,94,228,4
15,1014,name14,Class-1,47,75,43,24,189,4
16,1015,name15,Class-1,62,20,54,39,175,4
17,1016,name16,Class-1,4,17,15,49,85,4
18,1017,name17,Class-1,24,87,34,3,148,4
19,1018,name18,Class-1,98,52,96,79,325,4
20,1019,name19,Class-1,55,95,46,8,204,4
21,1020,name20,Class-1,70,51,53,9,183,4
22,1021,name21,Class-1,45,8,78,48,179,4
23,1022,name22,Class-1,99,55,19,22,195,4
24,1023,name23,Class-1,20,54,31,4,109,4
25,1024,name24,Class-1,50,49,10,70,179,4
26,1025,name25,Class-1,20,24,87,47,178,4
27,1026,name26,Class-1,58,84,21,7,170,4
28,1027,name27,Class-1,37,37,40,78,192,4
29,1028,name28,Class-1,52,62,2,64,180,4
30,1029,name29,Class-1,34,88,97,58,277,4
31,1030,name30,Class-1,71,47,70,73,261,4
32,1031,name31,Class-1,76,62,48,60,246,4
33,1032,name32,Class-1,2,2,16,27,47,4
34,1033,name33,Class-1,40,95,99,34,268,4
35,1034,name34,Class-1,3,9,9,4,25,4
36,1035,name35,Class-1,7,98,87,45,237,4
37,1036,name36,Class-1,60,73,1,41,175,4
38,1037,name37,Class-1,80,85,83,87,335,4
39,1038,name38,Class-1,97,81,27,76,281,4
40,1039,name39,Class-1,44,81,65,9,199,4
41,1040,name40,Class-1,10,93,33,37,173,4
42,1041,name41,Class-1,28,50,18,52,148,4
43,1042,name42,Class-1,6,30,0,42,78,4
44,1043,name43,Class-1,85,80,90,95,350,4
45,1044,name44,Class-1,95,8,68,26,197,4
46,1045,name45,Class-1,17,48,20,65,150,4
